title,journal,year,doi,authors,keyword,title_clean,journal_clean
Enhancing Fraud Detection in Imbalanced Datasets: A Comparative Study of Machine Learning and Deep Learning Algorithms with SMOTE Preprocessing,Mansoura Journal for Computer and Information Sciences,2025,10.21608/mjcis.2025.313097.1007,Walaa salah salem; ibrahim el- hasnony; Ahmed Abu Elfetouh; Amira Rezk,deep learning,enhancing fraud detection in imbalanced datasets: a comparative study of machine learning and deep learning algorithms with smote preprocessing,mansoura journal for computer and information sciences
Improving the Quality of Learning Through the Integration of Literacy and Numeracy,Jurnal Penelitian Pendidikan IPA,2025,10.29303/jppipa.v11i10.10736,Tiur Malasari Siregar; Muliawan Firdaus; Trisnawati Hutagalung; Irham Ramadhani; Suci Frisnoiry,deep learning,improving the quality of learning through the integration of literacy and numeracy,jurnal penelitian pendidikan ipa
Evaluating Data Trust in Blockchain-Based IoT Systems Using Machine Learning Techniques,2025 IEEE 22nd Consumer Communications &amp;amp; Networking Conference (CCNC),2025,10.1109/ccnc54725.2025.10975901,Rashmi Ratnayake; Madhusanka Liyanage; Liam Murphy,deep learning,evaluating data trust in blockchain-based iot systems using machine learning techniques,2025 ieee 22nd consumer communications &amp;amp; networking conference (ccnc)
Dynamic label correlations and dual-semantic enhancement learning for cross-modal retrieval,Neurocomputing,2025,10.1016/j.neucom.2025.129371,Shaohua Teng; Ziye Fang; Zefeng Zheng; Naiqi Wu; Wei Zhang; Luyao Teng,deep learning,dynamic label correlations and dual-semantic enhancement learning for cross-modal retrieval,neurocomputing
ALDEN: Dual-Level Disentanglement with Meta-learning for Generalizable Audio Deepfake Detection,Proceedings of the 33rd ACM International Conference on Multimedia,2025,10.1145/3746027.3754741,Yuxiong Xu; Bin Li; Weixiang Li; Sara Mandelli; Viola Negroni; Sheng Li,deep learning,alden: dual-level disentanglement with meta-learning for generalizable audio deepfake detection,proceedings of the 33rd acm international conference on multimedia
Teaching and learning resources for preparing schoolchildren for the Artificial Intelligence Olympiad,Informatics in school,2025,10.32517/2221-1993-2025-24-5-7-18,N. N. Samylkina; I. A. Kalinin,deep learning,teaching and learning resources for preparing schoolchildren for the artificial intelligence olympiad,informatics in school
Using machine learning to investigate user behaviour of Tyne and Wear Metro,International Journal of Transportation Science and Technology,2025,10.1016/j.ijtst.2025.09.001,Huseyin Ayan; Muhammed Cavus; Yusuf Furkan Ugurluoglu; Cafer Deniz; Dilum Dissanayake; Margaret Bell,deep learning,using machine learning to investigate user behaviour of tyne and wear metro,international journal of transportation science and technology
Balancing Graph Embedding Smoothness in Self-supervised Learning via Information-Theoretic Decomposition,Proceedings of the ACM on Web Conference 2025,2025,10.1145/3696410.3714611,Heesoo Jung; Hogun Park,deep learning,balancing graph embedding smoothness in self-supervised learning via information-theoretic decomposition,proceedings of the acm on web conference 2025
Bridging the Experience from Class to the Sustainability Workspace Through Situated Learning,Geological Society of America Abstracts with Programs,2025,10.1130/abs/2025am-6780, ; Lean Hong Tan; Samuel Nyarko,deep learning,bridging the experience from class to the sustainability workspace through situated learning,geological society of america abstracts with programs
Action Selection Learning for Weakly Labeled Multi-modal Multi-view Action Recognition,"ACM Transactions on Multimedia Computing, Communications, and Applications",2025,10.1145/3744742,Trung Thanh Nguyen; Yasutomo Kawanishi; Vijay John; Takahiro Komamizu; Ichiro Ide,deep learning,action selection learning for weakly labeled multi-modal multi-view action recognition,"acm transactions on multimedia computing, communications, and applications"
Learning Heuristics to Solve Dynamic Vehicle Routing Problems Using Large Language Models,Proceedings of the 33rd ACM International Conference on Advances in Geographic Information Systems,2025,10.1145/3748636.3764603,Andrew Wang; Xiaoyan Li; Yunli Wang,deep learning,learning heuristics to solve dynamic vehicle routing problems using large language models,proceedings of the 33rd acm international conference on advances in geographic information systems
Predicting Offshore Oil Slick Formation: A Machine Learning Approach Integrating Meteoceanographic Variables,Water,2025,10.3390/w17070939,Simone C. Streitenberger; EstevÃ£o L. RomÃ£o; FabrÃ­cio A. Almeida; Antonio C. Zambroni de Souza; Aloisio E. Orlando; Pedro P. Balestrassi,deep learning,predicting offshore oil slick formation: a machine learning approach integrating meteoceanographic variables,water
Space Target Image Sequence Prediction Based on Multilevel Motion Memory Intelligent Learning,IEEE Transactions on Geoscience and Remote Sensing,2025,10.1109/tgrs.2025.3577705,Yu Fan; Yikang Yang; Yu Jiang,deep learning,space target image sequence prediction based on multilevel motion memory intelligent learning,ieee transactions on geoscience and remote sensing
Application of an Improved Double Q-Learning Algorithm in Ground Mobile Robots,Symmetry,2025,10.3390/sym17091530,Jinchao Zhao; Ya Zhang; Nan Wu; Xinye Han; Luoyin Ning; Xiaowei Ren; Lingling Fang; Jiaxuan Wang; Xu Ren; Yu Zhang; Jinghao Feng,deep learning,application of an improved double q-learning algorithm in ground mobile robots,symmetry
Automatic Speech Data Labeling System Based on Speech Recognition and Machine Learning,The Journal of Innovation Industry Technology,2025,10.60032/jiit.2025.3.3.119, ; Jin-Sung Choi,deep learning,automatic speech data labeling system based on speech recognition and machine learning,the journal of innovation industry technology
